"All Store Views","Todas las vistas de la tienda"
Root,Orígen
Delete,Eliminar
"Are you sure?","¿Está seguro?"
"Change status","Cambiar el estatus"
Status,Status
"Update attributes","Actualizar los atributos"
Website,"Sitio web"
"Advanced Permissions","Permisos avanzados"
"Advanced Permissions Tab","Permisos avanzados Tab"
"Display All Products","Mostrar todos los productos"
"If set to ""No"", user will see only products from categories assigned to him.","Si marca ""No"", el usuario verá sólo productos de las categorías asignadas para él."
"Show All Customers","Mostrar todos los clientes"
"If set to ""No"" user with restricted permissions can view customers from the website of the allowed store only.","Si marca ""No"" el usuario con permisos restringidos puede ver a los clientes de la página web solamente de la tienda permitida."
"Allow Deletion (Store-view restriction)","Permitir eliminar (restricción de la vista de tienda)"
"If set to ""Yes"" user with restricted permissions per Store-view can delete products, product images and categories.","Si marca ""Sí"" el usuario con permiso restringido por la vista de tienda puede eliminar productos, imágenes de productos y categorías."
"Allow Deletion (Website restriction)","Permitir eliminar (restricción del sitio web)"
"If set to ""Yes"" user with restricted permissions per Website can delete products, product images and categories.","Si marca ""Sí"" el usuario con permiso restringido por el sitio web puede eliminar productos, imágenes de productos y categorías."
"Sorry, you have no permissions to delete this product. For more details please contact site administrator.","Lo sentimos, usted no tiene permiso para eliminar este producto. Para más información, por favor, contacte con el administrador del sitio."
"Please, select allowed categories for the following stores: %s","Por favor, seleccione las categorías permitidas para las siguientes tiendas: %s"
"Sorry, you have no permissions to edit this product. For more details please contact site administrator.","Lo sentimos, usted no tiene permiso para modificar este producto. Para más información, por favor, contacte con el administrador del sitio."
"Review could not be deleted due to insufficent permissions.","La revisión no pudo ser eliminada por no tener permisos correspondientes."
"Some review(s) could not be deleted due to insufficent permissions.","Algunas revisiones no pudieron ser eliminadas por no tener permisos correspondientes."
Disabled,Deshabilitado
"Limit Access to Store Views/Categories","Limitar acceso a las vistas de tienda/categorías"
"Limit Access to Websites","Limitar acceso a los sitios web"
"No store-views or websites are chosen for the Role. If you proceed the advanced permissions settings will be disabled for the Role. Are you sure?","No hay vistas de tiendas o sitios web son elegidos para el Papel. Si continúa con la configuración de permisos avanzados se deshabilitará para el Papel. ¿Está seguro?"
"Please, assign at least one category for each checked store.","Por favor, asigne por lo menos una categoría para cada tienda seleccionada."
"Store View","Vista de tienda"
"Collapse All","Ocultar todo"
"Expand All","Expandir todo"
"ctrl+click to select multiple websites","ctrl+clik para seleccionar sitios de web múltiples"
