"All Store Views","Tous les vues du magasin"
"Root","Origine"
"Delete","Supprimer"
"Are you sure?","Etes-vous sûr?"
"Change status","Modifier le statut"
"Status","Statut"
"Update attributes","Mise à jour des attributs"
"Website","Site Web"
"Advanced Permissions","Autorisations avancées"
"Advanced Permissions Tab","Autorisations avancées Tab"
"Display All Products","Afficher tous les produits"
"If set to ""No"", user will see only products from categories assigned to him.","Si vous choisissez ""Non"", l'utilisateur verra les produits des catégories qui lui sont confiées."
"Show All Customers","Montrer tous les clients"
"If set to ""No"" user with restricted permissions can view customers from the website of the allowed store only.","Si vous choisissez ""Non""? utilisateur avec des permissions restreintes ne peut voir des utilisateurs via le site Web que du magasin accessible"
"Allow Deletion (Store-view restriction)","Autoriser la suppression (restriction :magasin-vue)"
"If set to ""Yes"" user with restricted permissions per Store-view can delete products, product images and categories.","Si vous choisissez ""Oui"" utilisateur avec des permissions restreintes par Magasin-vue peut supprimer des produits, des images de produits et de catégories."
"Allow Deletion (Website restriction)","Autoriser la suppression (restriction du site)"
"If set to ""Yes"" user with restricted permissions per Website can delete products, product images and categories.","Si vous choisissez ""Oui"" utilisateur avec des permissions restreintes par un site Web peut supprimer des produits, des images de produits et de catégories"
"Sorry, you have no permissions to delete this product. For more details please contact site administrator.","Désolé, vous n'avez pas de permissions de supprimer cet article. Pour plus de détails, s'il vous plaît, contactez l'administrateur du site"
"Please, select allowed categories for the following stores: %s","S'il vous plaît, sélectionne? des catégories autorisées pour les magasins suivants: %s"
"Sorry, you have no permissions to edit this product. For more details please contact site administrator.","Désolé, vous n'avez pas la permissions de modifier ce produit. Pour plus de détails, s'il vous plaît, contactez l'administrateur du site."
"Review could not be deleted due to insufficent permissions.","Revue n'a pas pu être supprimée en raison d'insuffisance dautorisation"
"Some review(s) could not be deleted due to insufficent permissions.","Certains commentaire (s) ne peuvent être supprimés en raison d'insuffisance dautorisation"
"Disabled","Désactivé"
"Limit Access to Store Views/Categories","Limiter l'accès à la boutique Vues/Catégorie"
"Limit Access to Websites","Limiter l'accès à des sites Web"
"No store-views or websites are chosen for the Role. If you proceed the advanced permissions settings will be disabled for the Role. Are you sure?","Aucun magasin-vues ou les sites web sont choisis pour le Rôle. Si vous prodéde, les paramètres avancés des autorisations seront désactivé pour le Rôle. Etes-vous sûr?"
"Please, assign at least one category for each checked store.","S'il vous plaît, attribuez au moins une catégorie pour chaque magasin vérifié."
"Store View","Vue de magasin"
"Collapse All","Replier tout"
"Expand All","Développer tout"
"ctrl+click to select multiple websites","ctrl+clic pour sélectionner plusieurs sites Web"
