"All Store Views","Tutte le Visioni del Negozio"
Root,Radice
Delete,Cancellare
"Are you sure?","Sei sicuro?"
"Change status","Cambiare status"
Status,Status
"Update attributes","Atributi di Aggiornamento"
Website,"Sito Web"
"Advanced Permissions","Autorizzazioni avanzate"
"Advanced Permissions Tab","Scheda di Permessi Estesi"
"Display All Products","Visualizza tutti i Prodotti"
"If set to ""No"", user will see only products from categories assigned to him.","Se impostato ""No"", utente vedra` solo prodotti dalle categorie a lui assegnate."
"Show All Customers","Mostrare tutti i Clienti"
"If set to ""No"" user with restricted permissions can view customers from the website of the allowed store only.","Se impostato ""No"" utente con autorizzazioni limitate puo` vedere clienti del sito solo del negozio permesso."
"Allow Deletion (Store-view restriction)","Consentire l'Eliminazione (restrizione Visione del Negozio)"
"If set to ""Yes"" user with restricted permissions per Store-view can delete products, product images and categories.","Se impostato ""Si`"" utente con autorizzazioni limitate per Visione del Negozio puo` eliminare prodotti, immagini dei prodotti e categorie."
"Allow Deletion (Website restriction)","Consentire l'Eliminazione (restrizione Sito Web)"
"If set to ""Yes"" user with restricted permissions per Website can delete products, product images and categories.","Se impostato ""Si`"" utente con autorizzazioni limitate per Sito Web puo` eliminare prodotti, immagini dei prodotti e categorie."
"Sorry, you have no permissions to delete this product. For more details please contact site administrator.","Ci scusiamo, non hai autorizzazione per eliminare questo prodotto. Per piu` dettagli contatta l'amministratore del sito."
"Please, select allowed categories for the following stores: %s","Seleziona categorie permesse nei negozi seguenti: %s"
"Sorry, you have no permissions to edit this product. For more details please contact site administrator.","Ci scusiamo, non hai autorizzazione per modificare questo prodotto. Per piu` dettagli contatta l'amministratore del sito."
"Review could not be deleted due to insufficent permissions.","Recensione non può essere cancellata a causa di autorizzazioni insufficienti."
"Some review(s) could not be deleted due to insufficent permissions.","Alcune recensioni non possono essere cancellate a causa di autorizzazioni insufficienti."
Disabled,Disattivato
"Limit Access to Store Views/Categories","Accesso Limitato a Visione del Negozio / Categorie"
"Limit Access to Websites","Accesso Limitato a Siti Web"
"No store-views or websites are chosen for the Role. If you proceed the advanced permissions settings will be disabled for the Role. Are you sure?","Non sono selezionati visioni del negozio e siti web per Ruolo. Se procedi impostazioni di permessi avanzati saranno disattivati per Ruolo. Sei sicuro?"
"Please, assign at least one category for each checked store.","Si prega di assegnare almeno una categoria per ogni negozio selezionato."
"Store View","Visione del Negozio"
"Collapse All","Ridurre tutto"
"Expand All","Espandere tutto"
"ctrl+click to select multiple websites","ctrl+clic per selezionare più siti web"
